run_id	variant_group_id	gene_symbol	reference_variant_group_id	brain_cosine_similarity	brain_sign_agreement	n_brain_groups_used
ccg01_ZZZ3_del3	ZZZ3_del3	ZZZ3	RBFOX1_del3	-0.7140893833016957	0.1111111111111111	9
ccg05_FZD7_del8	FZD7_del8	FZD7	RBFOX1_del3	0.6814258364811089	0.4444444444444444	9
ccg06_TRAF3IP1_del3	TRAF3IP1_del3	TRAF3IP1	RBFOX1_del3	0.8516319805262416	0.8888888888888888	9
ccg07_RNPEPL1_del3	RNPEPL1_del3	RNPEPL1	RBFOX1_del3	0.7147782149510892	0.8888888888888888	9
ccg08_GSK3B_del1	GSK3B_del1	GSK3B	RBFOX1_del3	-0.6999925304877648	0.1111111111111111	9
ccg09_SPSB4_snv	SPSB4_snv	SPSB4	RBFOX1_del3	-0.7998071911868292	0.1111111111111111	9
ccg10_GPRIN1_del6	GPRIN1_del6	GPRIN1	RBFOX1_del3	-0.7757349240062483	0.1111111111111111	9
ccg11_AUTS2_del6	AUTS2_del6	AUTS2	RBFOX1_del3	0.8273792707811587	1.0	9
ccg12_CNTFR_snv	CNTFR_snv	CNTFR	RBFOX1_del3	-0.4734262536358643	0.1111111111111111	9
ccg13_LOC107984006_BMS1P14_mnv3	LOC107984006_BMS1P14_mnv3	BMS1P14	RBFOX1_del3	-0.9012471525893812	0.1111111111111111	9
ccg14_MSANTD3_del6	MSANTD3_del6	MSANTD3	RBFOX1_del3	0.6251014709978349	0.8888888888888888	9
ccg15_NKX6-2_del4	NKX6-2_del4	NKX6-2	RBFOX1_del3	0.6359066277589829	0.8888888888888888	9
ccg16_HOXC8_del3	HOXC8_del3	HOXC8	RBFOX1_del3	0.14302598503562808	0.7777777777777778	9
ccg17_RBFOX1_del3	RBFOX1_del3	RBFOX1	RBFOX1_del3	1.0	1.0	9
ccg18_SHISA6_del3	SHISA6_del3	SHISA6	RBFOX1_del3	0.6145828685483291	0.8888888888888888	9
ccg19_PTPRT_del9	PTPRT_del9	PTPRT	RBFOX1_del3	-0.4468131449502151	0.7777777777777778	9
ccg20_DNAJC5_del3	DNAJC5_del3	DNAJC5	RBFOX1_del3	-0.859974939782921	0.0	9
