feature	chrom	start	end	strand	gene_name	gene_id	transcript_id	transcript_name	selected_transcript_id	selected_transcript_name	selection_rule	run_id
gene	chr1	77562415	77683419	-	ZZZ3	ENSG00000036549.13			ENST00000370801.8	ZZZ3-202	MANE_Select/Ensembl_canonical/APPRIS priority, then exon length	ccg01_ZZZ3_del3
exon	chr1	77682584	77682658	-	ZZZ3	ENSG00000036549.13	ENST00000370801.8	ZZZ3-202	ENST00000370801.8	ZZZ3-202	MANE_Select/Ensembl_canonical/APPRIS priority, then exon length	ccg01_ZZZ3_del3
exon	chr1	77641521	77641655	-	ZZZ3	ENSG00000036549.13	ENST00000370801.8	ZZZ3-202	ENST00000370801.8	ZZZ3-202	MANE_Select/Ensembl_canonical/APPRIS priority, then exon length	ccg01_ZZZ3_del3
exon	chr1	77641383	77641446	-	ZZZ3	ENSG00000036549.13	ENST00000370801.8	ZZZ3-202	ENST00000370801.8	ZZZ3-202	MANE_Select/Ensembl_canonical/APPRIS priority, then exon length	ccg01_ZZZ3_del3
exon	chr1	77639448	77639602	-	ZZZ3	ENSG00000036549.13	ENST00000370801.8	ZZZ3-202	ENST00000370801.8	ZZZ3-202	MANE_Select/Ensembl_canonical/APPRIS priority, then exon length	ccg01_ZZZ3_del3
exon	chr1	77631849	77633405	-	ZZZ3	ENSG00000036549.13	ENST00000370801.8	ZZZ3-202	ENST00000370801.8	ZZZ3-202	MANE_Select/Ensembl_canonical/APPRIS priority, then exon length	ccg01_ZZZ3_del3
exon	chr1	77584516	77584655	-	ZZZ3	ENSG00000036549.13	ENST00000370801.8	ZZZ3-202	ENST00000370801.8	ZZZ3-202	MANE_Select/Ensembl_canonical/APPRIS priority, then exon length	ccg01_ZZZ3_del3
exon	chr1	77581978	77582126	-	ZZZ3	ENSG00000036549.13	ENST00000370801.8	ZZZ3-202	ENST00000370801.8	ZZZ3-202	MANE_Select/Ensembl_canonical/APPRIS priority, then exon length	ccg01_ZZZ3_del3
exon	chr1	77581775	77581891	-	ZZZ3	ENSG00000036549.13	ENST00000370801.8	ZZZ3-202	ENST00000370801.8	ZZZ3-202	MANE_Select/Ensembl_canonical/APPRIS priority, then exon length	ccg01_ZZZ3_del3
exon	chr1	77580997	77581069	-	ZZZ3	ENSG00000036549.13	ENST00000370801.8	ZZZ3-202	ENST00000370801.8	ZZZ3-202	MANE_Select/Ensembl_canonical/APPRIS priority, then exon length	ccg01_ZZZ3_del3
